Nominal Diameter in,Outside Diameter in,Outside Diameter cm,Schedule,Inside Diameter ft,Inside Diameter cm,Flow Area ft^2,Flow Area cm^2
1/8,0.405,1.029,40 (std),0.02242,0.683,0.0003947,0.3664
1/8,0.405,1.029,80 (xs),0.01792,0.547,0.0002522,0.2350
1/4,0.540,1.372,40 (std),0.03033,0.924,0.0007227,0.6706
1/4,0.540,1.372,80 (xs),0.02517,0.768,0.0004974,0.4632
3/8,0.675,1.714,40 (std),0.04108,1.252,0.001326,1.233
3/8,0.675,1.714,80 (xs),0.03525,1.074,0.0009759,0.9059
1/2,0.840,2.134,40 (std),0.05183,1.580,0.002110,1.961
1/2,0.840,2.134,80 (xs),0.04550,1.386,0.001626,1.508
1/2,0.840,2.134,160,0.03867,1.178,0.001174,1.090
1/2,0.840,2.134,(xxs),0.02100,0.640,0.0003464,0.3217
3/4,1.050,2.667,40 (std),0.06867,2.093,0.003703,3.441
3/4,1.050,2.667,80 (xs),0.06183,1.883,0.003003,2.785
3/4,1.050,2.667,160,0.05100,1.555,0.002043,1.898
3/4,1.050,2.667,(xxs),0.03617,1.103,0.001027,0.9555
1,1.315,3.340,40 (std),0.08742,2.664,0.006002,5.574
1,1.315,3.340,80 (xs),0.07975,2.430,0.004995,5.083
1,1.315,3.340,160,0.06792,2.070,0.003623,3.365
1,1.315,3.340,(xxs),0.04992,1.522,0.001957,1.815
1 1/4,1.660,4.216,40 (std),0.1150,3.504,0.01039,9.643
1 1/4,1.660,4.216,80 (xs),0.1065,3.246,0.008908,8.275
1 1/4,1.660,4.216,160,0.09667,2.946,0.007339,6.816
1 1/4,1.660,4.216,(xxs),0.07467,2.276,0.004379,4.069
1 1/2,1.900,4.826,40 (std),0.1342,4.090,0.01414,13.13
1 1/2,1.900,4.826,80 (xs),0.1250,3.810,0.01227,11.40
1 1/2,1.900,4.826,160,0.1115,3.398,0.009764,9.068
1 1/2,1.900,4.826,(xxs),0.09167,2.794,0.007700,6.131
2,2.375,6.034,40 (std),0.1723,5.252,0.02330,21.66
2,2.375,6.034,80 (xs),0.1616,4.926,0.02051,19.06
2,2.375,6.034,160,0.1406,4.286,0.01552,14.43
2,2.375,6.034,(xxs),0.1253,3.820,0.01232,11.46
2 1/2,2.875,7.303,40 (std),0.2058,6.271,0.03325,30.89
2 1/2,2.875,7.303,80 (xs),0.1936,5.901,0.02943,27.35
2 1/2,2.875,7.303,160,0.1771,5.397,0.02463,22.88
2 1/2,2.875,7.303,(xxs),0.1476,4.499,0.01711,15.90
3,3.500,8.890,40 (std),0.2557,7.792,0.05134,47.69
3,3.500,8.890,80 (xs),0.2417,7.366,0.04587,42.61
3,3.500,8.890,160,0.2187,6.664,0.03755,34.88
3,3.500,8.890,(xxs),0.1917,5.842,0.02885,26.80
3 1/2,4.000,10.16,40 (std),0.2957,9.012,0.06866,63.79
3 1/2,4.000,10.16,80 (xs),0.2803,8.544,0.06172,57.33
4,4.500,11.43,40 (std),0.3355,10.23,0.08841,82.19
4,4.500,11.43,80 (xs),0.3198,9.718,0.07984,74.17
4,4.500,11.43,120,0.3020,9.204,0.07163,66.54
4,4.500,11.43,160,0.2865,8.732,0.06447,59.88
4,4.500,11.43,(xxs),0.2626,8.006,0.05419,50.34
5,5.563,14.13,40 (std),0.4206,12.82,0.1389,129.10
5,5.563,14.13,80 (xs),0.4011,12.22,0.1263,117.30
5,5.563,14.13,120,0.3803,11.59,0.1136,105.50
5,5.563,14.13,160,0.3594,10.95,0.1015,94.17
5,5.563,14.13,(xxs),0.3386,10.32,0.09004,83.65
6,6.625,16.83,40 (std),0.5054,15.41,0.2006,186.50
6,6.625,16.83,80 (xs),0.4804,14.64,0.1810,168.30
6,6.625,16.83,120,0.4584,13.98,0.1650,153.50
6,6.625,16.83,160,0.4823,13.18,0.1467,136.40
6,6.625,16.83,(xxs),0.4081,12.44,0.1308,121.50
8,8.625,21.91,20,0.6771,20.64,0.3601,334.60
8,8.625,21.91,30,0.6726,20.50,0.3553,330.10
8,8.625,21.91,40 (std),0.6651,20.27,0.3474,322.70
8,8.625,21.91,60,0.6511,19.85,0.3329,309.50
8,8.625,21.91,80 (xs),0.6354,19.37,0.3171,294.70
8,8.625,21.91,100,0.6198,18.89,0.3017,280.30
8,8.625,21.91,120,0.5989,18.26,0.2817,261.90
8,8.625,21.91,140,0.5834,17.79,0.2673,248.60
8,8.625,21.91,160,0.5729,17.46,0.2578,239.40
8,8.625,21.91,(xxs),0.5729,17.31,0.2578,235.30
10,10.750,27.31,20,0.8542,26.04,0.5730,332.60
10,10.750,27.31,30,0.8446,25.75,0.5604,520.80
10,10.750,27.31,40 (std),0.8350,25.46,0.5476,509.10
10,10.750,27.31,60 (xs),0.8125,24.77,0.5185,481.90
10,10.750,27.31,80,0.7968,24.29,0.4987,463.40
10,10.750,27.31,100,0.7760,23.66,0.4730,439.70
10,10.750,27.31,120,0.7552,23.02,0.4470,416.20
10,10.750,27.31,140 (xxs),0.7292,22.23,0.4176,388.10
10,10.750,27.31,160,0.7083,21.59,0.3941,366.10
12,12.750,32.39,20,1.021,31.12,0.8185,760.60
12,12.750,32.39,30,1.008,30.71,0.7972,740.71
12,12.750,32.39,(std),1.000,30.48,0.7854,729.70
12,12.750,32.39,40,0.9948,30.33,0.773,722.50
12,12.750,32.39,(xs),0.9792,29.85,0.7530,699.80
12,12.750,32.39,60,0.9688,29.53,0.7372,684.90
12,12.750,32.39,80,0.9478,28.89,0.7056,655.50
12,12.750,32.39,100,0.9218,28.10,0.6674,620.20
12,12.750,32.39,120,0.8958,27.31,0.6303,585.80
12,12.750,32.39,140 (xxs),0.8750,26.67,0.6013,558.60
12,12.750,32.39,160,0.8438,25.72,0.5592,519.60
14,14.000,35.57,30 (std),1.104,33.65,0.9575,889.30
14,14.000,35.57,160,0.9323,28.42,0.6827,634.40
16,16.000,40.64,30 (std),1.271,38.73,1.268,1178.00
16,16.000,40.64,160,1.068,32.54,0.8953,831.60
18,18.000,45.72,(std),1.438,43.81,1.623,1507.00
18,18.000,45.72,160,1.203,36.67,1.137,1056.00
20,20.000,50.80,20 (std),1.604,48.89,2.021,1877.00
20,20.000,50.80,160,1.339,40.80,1.407,1307.00
22,22.000,55.88,20 (std),1.771,53.97,2.463,2288.00
22,22.000,55.88,160,1.479,45.08,1.718,1596.00
24,24.000,60.96,20 (std),1.938,59.05,2.948,2739.00
24,24.000,60.96,160,1.609,49.05,2.034,1890.00
26,26.000,66.04,(std),2.104,64.13,3.477,3230.00
28,28.000,71.12,(std),2.271,69.21,4.050,3762.00
30,30.000,76.20,(std),2.438,74.29,4.666,4335.00
32,32.000,81.28,(std),2.604,79.34,5.326,4944.00
34,34.000,86.36,(std),2.771,84.45,6.030,5601.00
