Standard Size in,Outside Diameter in,Outside Diameter cm,Type,Inside Diameter ft,Inside Diameter cm,Flow Area ft^2,Flow Area cm^2
1/4,0.375,0.953,K,0.02542,0.775,0.0005074,0.4717
1/4,0.375,0.953,L,0.02625,0.801,0.0005412,0.5039
3/8,0.500,1.270,K,0.03350,1.022,0.0008814,0.8203
3/8,0.500,1.270,L,0.03583,1.092,0.001008,0.9366
3/8,0.500,1.270,M,0.03750,1.142,0.001104,1.024
1/2,0.625,1.588,K,0.04392,1.340,0.001515,1.410
1/2,0.625,1.588,L,0.04542,1.384,0.001620,1.505
1/2,0.625,1.588,M,0.04742,1.446,0.001766,1.642
5/8,0.750,1.905,K,0.05433,1.657,0.002319,2.156
5/8,0.750,1.905,L,0.05550,1.691,0.002419,2.246
3/4,0.875,2.222,K,0.06208,1.892,0.003027,2.811
3/4,0.875,2.222,L,0.06542,1.994,0.003361,3.123
3/4,0.875,2.222,M,0.06758,2.060,0.003587,3.333
1,1.125,2.858,K,0.08292,2.528,0.005400,5.019
1,1.125,2.858,L,0.08542,2.604,0.005730,5.326
1,1.125,2.858,M,0.08792,2.680,0.006071,5.641
1 1/4,1.375,3.493,K,0.1038,3.163,0.008454,7.858
1 1/4,1.375,3.493,L,0.1054,3.213,0.008728,8.108
1 1/4,1.375,3.493,M,0.1076,3.279,0.009090,8.444
1 1/2,1.625,4.128,K,0.1234,3.762,0.01196,11.12
1 1/2,1.625,4.128,L,0.1254,3.824,0.01235,11.48
1 1/2,1.625,4.128,M,0.1272,3.880,0.01272,11.82
2,2.125,5.398,K,0.1633,4.976,0.02093,11.95
2,2.125,5.398,L,0.1654,5.042,0.02149,19.97
2,2.125,5.398,M,0.1674,5.102,0.02201,20.44
2 1/2,2.625,6.668,K,0.2029,6.186,0.03234,30.05
2 1/2,2.625,6.668,L,0.2054,6.262,0.03314,30.80
2 1/2,2.625,6.668,M,0.2079,6.338,0.03395,40.17
3,3.125,7.938,K,0.2423,7.384,0.04609,42.82
3,3.125,7.938,L,0.2454,7.480,0.04730,43.94
3,3.125,7.938,M,0.2484,7.572,0.04847,45.03
3 1/2,3.625,9.208,K,0.2821,8.598,0.06249,58.06
3 1/2,3.625,9.208,L,0.2854,8.700,0.06398,59.45
3 1/2,3.625,9.208,M,0.2883,8.786,0.06523,60.63
4,4.125,10.48,K,0.3214,9.800,0.08114,75.43
4,4.125,10.48,L,0.3254,9.922,0.08317,77.32
4,4.125,10.48,M,0.3279,9.998,0.08445,78.51
5,5.125,13.02,K,0.4029,12.21,0.1259,117.10
5,5.125,13.02,L,0.4063,12.38,0.1296,120.50
5,5.125,13.02,M,0.4089,12.47,0.1313,112.10
6,6.125,15.56,K,0.4784,14.58,0.1798,167.00
6,6.125,15.56,L,0.4871,14.85,0.1863,173.20
6,6.125,15.56,M,0.4901,14.93,0.1886,175.30
8,8.125,20.64,K,0.6319,19.26,0.3136,291.50
8,8.125,20.64,L,0.6438,19.62,0.3255,302.50
8,8.125,20.64,M,0.6438,19.62,0.3306,307.20
10,10.125,25.72,K,0.7874,24.00,0.4870,452.50
10,10.125,25.72,L,0.8021,24.45,0.5053,469.50
10,10.125,25.72,M,0.8084,24.64,0.5133,476.80
12,12.125,30.80,K,0.9429,28.74,0.6983,648.80
12,12.125,30.80,L,0.9638,29.38,0.7295,677.90
12,12.125,30.80,M,0.9681,29.51,0.7361,684.00
