tube_od_in,tube_od_cm,bwg,tube_id_in,tube_id_cm
0.75,1.91,10,0.482,1.22
0.75,1.91,11,0.510,1.29
0.75,1.91,12,0.532,1.35
0.75,1.91,13,0.560,1.42
0.75,1.91,14,0.584,1.48
0.75,1.91,15,0.606,1.54
0.75,1.91,16,0.620,1.57
0.75,1.91,17,0.634,1.61
0.75,1.91,18,0.652,1.66
1.00,2.54,8,0.670,1.70
1.00,2.54,9,0.704,1.79
1.00,2.54,10,0.732,1.86
1.00,2.54,11,0.760,1.93
1.00,2.54,12,0.782,1.99
1.00,2.54,13,0.810,2.06
1.00,2.54,14,0.834,2.12
1.00,2.54,15,0.856,2.17
1.00,2.54,16,0.870,2.21
1.00,2.54,17,0.884,2.25
1.00,2.54,18,0.902,2.29
